😂	emoji_pos
❤	emoji_pos
♥	emoji_pos
😍	emoji_pos
😭	emoji_neg
😘	emoji_pos
😊	emoji_pos
👌	emoji_pos
💕	emoji_pos
👏	emoji_pos
😁	emoji_pos
☺	emoji_pos
♡	emoji_pos
👍	emoji_pos
😩	emoji_neg
🙏	emoji_pos
✌	emoji_pos
😏	emoji_neu
😉	emoji_pos
🙌	emoji_pos
🙈	emoji_pos
💪	emoji_pos
😄	emoji_pos
😒	emoji_neg
💃	emoji_pos
💖	emoji_pos
😃	emoji_pos
😔	emoji_neg
😱	emoji_pos
🎉	emoji_pos
😜	emoji_pos
☯	emoji_neu
🌸	emoji_pos
💜	emoji_pos
💙	emoji_pos
✨	emoji_neu
😳	emoji_pos
💗	emoji_pos
★	emoji_neu
█	emoji_neu
☀	emoji_pos
😡	emoji_neg
😎	emoji_pos
😢	emoji_pos
💋	emoji_pos
😋	emoji_pos
🙊	emoji_pos
😴	emoji_neg
🎶	emoji_pos
💞	emoji_pos
😌	emoji_pos
🔥	emoji_neu
💯	emoji_pos
🔫	emoji_neg
💛	emoji_pos
💁	emoji_pos
💚	emoji_pos
♫	emoji_neu
😞	emoji_neg
😆	emoji_pos
😝	emoji_pos
😪	emoji_neg
�	emoji_neu
😫	emoji_neg
😅	emoji_pos
👊	emoji_pos
💀	emoji_neg
😀	emoji_pos
😚	emoji_pos
😻	emoji_pos
©	emoji_neu
👀	emoji_neu
💘	emoji_pos
🐓	emoji_neu
☕	emoji_neu
👋	emoji_pos
✋	emoji_pos
🎊	emoji_pos
🍕	emoji_pos
❄	emoji_pos
😥	emoji_pos
😕	emoji_neg
💥	emoji_neu
💔	emoji_neg
😤	emoji_neg
😈	emoji_pos
►	emoji_neu
✈	emoji_neu
🔝	emoji_pos
😰	emoji_neg
⚽	emoji_pos
😑	emoji_neg
👑	emoji_pos
😹	emoji_pos
👉	emoji_neu
🍃	emoji_pos
🎁	emoji_pos
😠	emoji_neg
🐧	emoji_pos
☆	emoji_neu
🍀	emoji_neu
🎈	emoji_pos
🎅	emoji_neu
😓	emoji_neg
😣	emoji_neg
😐	emoji_neg
✊	emoji_pos
😨	emoji_neg
😖	emoji_neg
💤	emoji_pos
💓	emoji_pos
👎	emoji_neg
💦	emoji_pos
✔	emoji_neu
😷	emoji_neg
⚡	emoji_neu
🙋	emoji_pos
🎄	emoji_pos
💩	emoji_neg
🎵	emoji_pos
➡	emoji_neu
😛	emoji_pos
😬	emoji_pos
👯	emoji_pos
💎	emoji_pos
🌿	emoji_neu
🎂	emoji_pos
🌟	emoji_neu
🔮	emoji_neu
❗	emoji_neu
👫	emoji_pos
🏆	emoji_pos
✖	emoji_neu
☝	emoji_pos
😙	emoji_pos
⛄	emoji_pos
👅	emoji_pos
♪	emoji_pos
🍂	emoji_pos
💏	emoji_pos
🔪	emoji_neu
🌴	emoji_pos
👈	emoji_pos
🌹	emoji_pos
🙆	emoji_pos
➜	emoji_neu
👻	emoji_neu
💰	emoji_neu
🍻	emoji_pos
🙅	emoji_neg
🌞	emoji_pos
🍁	emoji_pos
⭐	emoji_pos
▪	emoji_neu
🎀	emoji_pos
━	emoji_neu
☷	emoji_neu
🐷	emoji_neu
🙉	emoji_pos
🌺	emoji_pos
💅	emoji_pos
🐶	emoji_pos
🌚	emoji_pos
👽	emoji_neu
🎤	emoji_pos
👭	emoji_pos
🎧	emoji_pos
👆	emoji_pos
🍸	emoji_pos
🍷	emoji_neu
®	emoji_neu
🍉	emoji_pos
😇	emoji_pos
☑	emoji_neu
🏃	emoji_pos
😿	emoji_neg
│	emoji_neu
💣	emoji_neu
🍺	emoji_pos
▶	emoji_neu
😲	emoji_neg
🎸	emoji_pos
🍹	emoji_pos
💫	emoji_pos
📚	emoji_pos
😶	emoji_neg
🌷	emoji_pos
💝	emoji_pos
💨	emoji_pos
🏈	emoji_pos
💍	emoji_pos
☔	emoji_pos
👸	emoji_pos
🇪	emoji_pos
░	emoji_neu
🍩	emoji_pos
👾	emoji_neu
☁	emoji_pos
🌻	emoji_pos
😵	emoji_pos
📒	emoji_neu
↿	emoji_pos
🐯	emoji_pos
👼	emoji_pos
🍔	emoji_pos
😸	emoji_pos
👶	emoji_pos
↾	emoji_pos
💐	emoji_pos
🌊	emoji_pos
🍦	emoji_pos
🍓	emoji_pos
👇	emoji_neu
💆	emoji_pos
🍴	emoji_pos
😧	emoji_neg
🇸	emoji_pos
😮	emoji_pos
▓	emoji_neu
🚫	emoji_neg
😽	emoji_pos
🌈	emoji_pos
🙀	emoji_pos
⚠	emoji_neu
🎮	emoji_pos
╯	emoji_neu
🍆	emoji_pos
🍰	emoji_pos
✓	emoji_neu
👐	emoji_neg
🙇	emoji_pos
🍟	emoji_pos
🍌	emoji_pos
💑	emoji_pos
👬	emoji_neu
🐣	emoji_pos
🎃	emoji_pos
▬	emoji_neu
￼	emoji_neg
😟	emoji_pos
🐾	emoji_pos
🎓	emoji_pos
🏊	emoji_pos
🍫	emoji_pos
📷	emoji_pos
👄	emoji_pos
🌼	emoji_pos
🚶	emoji_neu
🐱	emoji_pos
║	emoji_neu
🐸	emoji_neu
🇺	emoji_pos
👿	emoji_neg
🚬	emoji_pos
✿	emoji_neu
📖	emoji_pos
🐒	emoji_pos
🌍	emoji_pos
┊	emoji_pos
🐥	emoji_pos
🌀	emoji_neu
🐼	emoji_neu
🎥	emoji_neu
💄	emoji_pos
💸	emoji_pos
⛔	emoji_pos
●	emoji_neu
🏀	emoji_pos
💉	emoji_pos
💟	emoji_pos
🚗	emoji_neu
😯	emoji_pos
📝	emoji_neu
═	emoji_neu
♦	emoji_pos
💭	emoji_neu
🌙	emoji_pos
🐟	emoji_pos
👣	emoji_pos
☞	emoji_neu
✂	emoji_neg
🗿	emoji_pos
🍝	emoji_pos
👪	emoji_neg
🍭	emoji_pos
🌃	emoji_neu
❌	emoji_pos
🐰	emoji_pos
💊	emoji_pos
