865436793742782464	Dienas viedie vārdi: jā, tā mums ir, tā mums ir! (Prezidents Vējonis @900sekundes)	POS
865443132732653568	Mājiens: CIK VAR ŅERCKĀTIES atsijājot Puzes ķipara kandidātus? Tāpat būs tā, kā tētiņš teiks, ticiet man. Agrāk vai… https://t.co/75rxhW0jMu	NEG
866564669313560576	Pirmdiena 😻  Lai jauka nedēļa visiem! https://t.co/qbA5OtQqON	POS
866565007672315905	Es : ooo šitā laba dziesma. Monika : O jā es atceros . Es : Kā šito dziesmu sauca ? Monika : es neatceros 😂😂😂 @_monika_i_	POS
866565205286940672	🌞Nepierasti atnākot no skolas mājās  @piecilv ēterā dzirdēt @aleksisvilcins jau rīta pusē🌞	POS
866566870459183104	🐌#Yes_But🐸 Nekas tev nepaliks no maniem pirkstu galiem, Tas tikai pieskaršanas mirklis mazs. 🤔👉Imants Ziedonis https://t.co/2vSNAlZrHd	NEU
866566925731733505	Baznīcu nakts Vecumnieku baznīcā: 21:00 Novadnieku koncerts 22:00 Juris Hiršs&draugi 23:00 Filma "Dieva āmurs" Iesp… https://t.co/qeDb38sX1E	NEU
866567041880391680	Es publicēju jaunu attēlu Facebook https://t.co/1uQl8RDCqZ	NEU
866567042245283840	Vecmātes: Mūs nedzird, nevienu nesatrauc mūsu darba apstākļi, atalgojums - https://t.co/wbTr7qN03y via @nralv	NEG
866567076248530944	Intervija @DelfiLV ēterā tieši šobrīd, bet pēc tam esmu aicināts uz diskusiju par to kopā ar @Lastovskis un… https://t.co/Va724dnffA	NEU
866567109953892352	Mani fascinē tie, kas emigrējuši no Latvijas, brēc par politiķiem LV. Un jo tālāk aizmukuši, jo skaļāk brēc.	POS
866567185283547136	Mainīs likumu, lai Latvijas iedzīvotājiem varētu liegt pamest valsti, ja tie ārvalstīs grasīsies iesaistīties bruņotos konfliktos http:/	NEU
866567313776136192	"Knicks" atbrīvo treneri, kam bija paredzēts doties uz Latviju -  https://t.co/AmgZpikQpl https://t.co/bicttpOSn2	NEU
866567415861268480	@otucis Nu ļoti skaisti, tikai pat skicē auto brauc pa sabiedriskā transporta joslu.	POS
866567450460139522	@saprge @vardotaja savulaik tīņa gados gribēju meitu saukt par Emīliju, vismaz vārda dienas sakarā tālāk neesmu tikusi :D	POS
866567459041665024	Uzņēmums "IDL Group" piedalījās labdarības projektā, kuru organizē Šri Ganeša biedrība Projekta mērķis ir... https://t.co/jWN0stWdO4	NEU
866567597667618817	Šodien Uzņēmēja Dienā par to, kā sociālajam uzņēmumam kļūt par veiksmīgu biznesu?  Pašlaik Saeimā atrodas... https://t.co/dXMs061sRu	NEU
866567629523353600	Sarkanā paklāja FOTO: pēc 25 gadu pauzes atgriežas kulta seriāls “Tvinpīka” https://t.co/qvj3T27fFv https://t.co/MqA3jbtAuR	NEU
866567665325879296	@normundsbergs @ainarsbr11 Laukos ar bezskaidru naudu tālu netiksi,tāpēc mums ir https://t.co/Pythr9RebB Igaunijā kases aparātu neprasa...	NEU
866567688222593024	ak, šīs 5 dienas gadā, kad var braukt ar kabrioletu! Skatos, daudzi bāliņi nekautrējās izmantot šo iespēju! :}	NEU
866567764491763712	Divu stundu laikā septiņus nv izlabot - medaļu sev jāpiešķir (@ Gitas un Evitas istabiņa) https://t.co/B3K0PQPtYo	POS
866567858343616514	Nauda būs iztērēta, bet pat galvenie ceļi netiks salaboti līdz 2018. gada beigām - https://t.co/8Fv9B0MHTb via @nralv	NEG
866567886961356800	@Dzhenars @Raimonds_B Nu no nebalsotājiem vinnē tikai Ušaks :/	NEG
866568005890846720	Aizkraukles mākslas skola uzņem jaunus audzēkņus 2017./ 2018.mācību  gadam. Vēlamais audzēkņa vecum... https://t.co/EtFRz2NxAt	POS
866568028951019520	Šodienai piemērots Imanta Ziedoņa teiktais: Un es sāku sevi vākt kopā. Tas bija grūtāk, nekā eksplodēt.	NEU
866568041596899328	Vai tad pašiem galvas nemaz nav uz pleciem, ka jāgaida, ka kāds parādīs ar pirkstu? https://t.co/ykEij2Pe8f	NEG
866568094810083328	Latvijas delegācija diskusijā OECD par Latvijas Ekonomikas pārskatu. Sagaidāma dinamiska viedokļu apmaiņa par rekom… https://t.co/AipJnZ51cR	NEU
866568189521604608	Paziņa absolūti nopietnā tonī palūdza aizdot naudu - jo man taču nav grūti, kopš pelnu ar blogu. Atbildēju, ka visu notriecu kokaīnā.	POS
866568215886999552	@TomsBrinkis @edzuslv @normis @laacz Skatos, ka pa šiem dažiem mēnešiem īpaši gudrāks neesi kļuvis. Try harder!	NEG
866568241715568641	Mūsu komanda ACM programmēšanas sacensību finālā - kas viņi ir (īsi portreti par katru dalībnieku): https://t.co/JAHYaaiI5Z	NEU
866568291476811776	Gata Purviņa piezemējums LČ spēlē pret Stats/Miesnieki. https://t.co/M7HIlkwmTH	NEU
866568295318769664	Automašīnā, kurā prokurore ietriecās, atradās māte ar nepilngadīgu meitu.  Tautai savi “varoņi” ir jāzina –... https://t.co/gx3eR7XRdx	NEG
866568303120179200	Abavas senlejas Ceļotāju dienas 27. un 28. maijā https://t.co/9YaISjudpC	NEU
866568313865879553	Lasītāja: vai jāmaksā apdrošināšanas maksa, ja īres līgumā tas nav noteikts? https://t.co/flJjLjx4Bq #pašvaldības #mājoklis #līgumi	NEU
866568365766258688	Brauc atbalstīt @ValmieraORDO cīņā par revanšu un BRONZAS sērijas turpināšanos! Izbraukšana 17:00 no Kultūras nama,… https://t.co/m1S2ISmarB	NEU
866568384846147584	Šīs nedēļas "must have" ir Color Sensational Vivid Matte lūpu krāsa tonī Fuchsia Extasy. Iegādājies un palutini... https://t.co/QmceWr30oA	NEU
866568415179403264	Zigis iesildās 2. raundam  https://t.co/Q7vJlmOvAO  Īstais tesiņš būs trešdien. Bez Dombura filtra. Līdz 18 un ar v… https://t.co/HMTjMNfD3S	NEU
866568482854506496	Ja es kandidētu, nesolītu neko un tikai tāpēc, lai nemelotu, bet tad par mani neviens nebalsotu, tātad, kas nemelo, netiek godā celts.	NEG
866568501821046784	Sadalītas ceļu nozares Gada balvas - https://t.co/R844qlh3S4 via @nralv	NEU
866568634054868992	MĒS CĪNĪSIMIES! 0:2. Tās vēl nav beigas https://t.co/GT4sN6k63j	POS
866568699926523905	Šodien pusdienās: Gaspačo + Vistas fileja ar ananāsiem un kartupeļiem + Dzēriens (kefīrs/kompots) = 4.30 EUR... https://t.co/XvNUjqtZ5J	NEU
866568725377560576	Jau nākamnedēļ! ISSP Skolas izlaiduma izstāde 2017 - CAURVĒJŠ, atklāšana 30.05. plkst. 19.00 Dzirnavu 27! Gaidīsim : https://t.co/NdtFB1h8gV	POS
866568736224006145	Valmieras estrādē notiks tautas deju koncerts-uzvedums „Nezināmā Valmiera” https://t.co/W5BGAPQaiM https://t.co/3uxtsNSVB6	NEU
866568751583461376	Šogad, 22. maijā aprit 80 gadi, kopš svinīgos apstākļos iemūrēts pamatakmens Ķeguma spēkstacijas būves pamatos. https://t.co/4HH8q9P2MU	POS
866568767647698944	Autokross: Pirms pēdējās pieteikumu dienas klasēs jau ieskaite; https://t.co/lUOPCsJx4h	NEU
866568840620199936	Jānogādā viens dokuments no Rīgas uz Cēsīm pēc iespējas ātrāk. Kādas ir iespējas? Kurjers? Kuru kurjera uzņēmumu iesakāt? Paldies.	NEU
866568858106298368	Kurš bija «ātro kredītu impērijas» «4Finance» īpašnieks un maksāja Andrim Amerikam 20%  https://t.co/5FEaVuWzZS	NEU
866568895305584640	No šodienas pārdošanā nākamā mācību gada abonementi jaunāko klašu skolēniem NĀC, IEKLAUSIES ORĶESTRĪ "RĪGA"! https://t.co/1nmIOHRyGT	NEU
866569029191860225	atrasts maks pie D-Tilta. Ieksa ir aplieciba Ivo Rainska (Rainskis) varda ar bankas kartem, tiesibam, automobila apliecibu. tel. 28958865	NEU
866569038121631744	Autokross: Pirms pēdējās pieteikumu dienas klasēs jau ieskaite https://t.co/FUDoJjn4pX https://t.co/JuEZaR6ASD	NEU
866569085139775488	Mikroskopi BRESSER par labākām cenām ar atlaidi līdz 15% interneta veikalā FOTOGRAD.LV! https://t.co/FYJLO5rTEo	NEU
866569120388702209	Twitter Mute poga ir mīlestība!  Twitter Mute poga ir lieliska!	POS
866569165024501762	5 lieliski veidi, kā atrast piemērotu tonālo krēmu taukainai ādai https://t.co/xVFVR5Uh78 via @Styliste_lv #makeup #skin #skincare #look	NEU
866569219072286721	Manī arvien vairāk nostiprinās pārliecība, ka prasmi atšķirt īstas un viltus ziņas jāmāca bērniem,tiklīdz sāk lieto… https://t.co/wUXLjiiJmV	NEU
866569297090498560	@TautasLaiks Ej dillës ar savu PSRS!	NEG
866569304644472834	Lieliska iespēja apvienot darbu ar studijām un pilnveidot sevi darbojoties starptautiskā uzņēmumā… https://t.co/fTh6EYLjRQ	NEU
866569342267387908	Austrumu slimnīcā ieviesta sistēma pacientu identificēšanai pēc pirkstu nospiedumiem https://t.co/sJM8E4JH9S https://t.co/TmNt4SnJjG	POS
866569369308024832	Visa šī situācija ir viena liela huina. Bet pats tizlaikais kā mani vārdi priekš viņa ir tukša vieta!!!!😢	NEG
866569437658456064	Augstākā tiesa saglabā Zaķim Saeimas deputāta mandātu. Apsveicu Vienotību ar šādu lēmumu un "kadru" savās rindās https://t.co/dfIPmxNtwh	NEG
